0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:30 +0100] "GET /OneRelease/xava/style/smoothness/images/ui-icons_454545_256x240.png HTTP/1.1" 200 6992
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:31 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:31 +0100] "GET /OneRelease/m/Project HTTP/1.1" 200 8362
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:32 +0100] "GET /OneRelease/dwr/interface/Modules.js?ox=6.5.3 HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:32 +0100] "GET /OneRelease/dwr/interface/Folders.js?ox=6.5.3 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:32 +0100] "GET /OneRelease/dwr/interface/Module.js?ox=6.5.3 HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:32 +0100] "GET /OneRelease/dwr/interface/Tab.js?ox=6.5.3 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:32 +0100] "GET /OneRelease/dwr/interface/View.js?ox=6.5.3 HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:32 +0100] "GET /OneRelease/dwr/util.js?ox=6.5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:32 +0100] "GET /OneRelease/xava/editors/flatpickr/en.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:32 +0100] "POST /OneRelease/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:33 +0100] "GET /OneRelease/xava/fonts/materialdesignicons-webfont.woff2?v=4.9.95 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:33 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:33 +0100] "GET /favicon.ico HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:37 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:38 +0100] "GET /OneRelease/m/Project HTTP/1.1" 200 12773
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:38 +0100] "GET /OneRelease/dwr/interface/Modules.js?ox=6.5.3 HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:38 +0100] "GET /OneRelease/dwr/interface/Folders.js?ox=6.5.3 HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:38 +0100] "GET /OneRelease/dwr/interface/Module.js?ox=6.5.3 HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:38 +0100] "GET /OneRelease/dwr/interface/Tab.js?ox=6.5.3 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:38 +0100] "GET /OneRelease/dwr/interface/View.js?ox=6.5.3 HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:38 +0100] "GET /OneRelease/xava/editors/flatpickr/en.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:38 +0100] "POST /OneRelease/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:38 +0100] "GET /OneRelease/xava/fonts/materialdesignicons-webfont.woff2?v=4.9.95 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:39 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 24020
0:0:0:0:0:0:0:1 - - [21/Oct/2021:01:49:41 +0100] "POST /OneRelease/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 133989
